datatime,acc_x,acc_y,acc_z,label
2021-10-27 15:37:10+00:00,5,10,61,walking
2021-10-27 15:37:10.031250+00:00,5,10,61,walking
2021-10-27 15:37:10.062500+00:00,5,10,61,walking
2021-10-27 15:37:10.093750+00:00,5,10,62,walking
2021-10-27 15:37:10.125000+00:00,5,10,62,walking
2021-10-27 15:37:10.156250+00:00,5,10,62,walking
2021-10-27 15:37:10.187500+00:00,5,10,62,walking
2021-10-27 15:37:10.218750+00:00,5,10,62,walking
2021-10-27 15:37:10.250000+00:00,5,10,61,walking
2021-10-27 15:37:10.281250+00:00,5,10,60,walking
2021-10-27 15:37:10.312500+00:00,6,11,62,walking
2021-10-27 15:37:10.343750+00:00,5,11,60,walking
2021-10-27 15:37:10.375000+00:00,6,11,61,walking
2021-10-27 15:37:10.406250+00:00,6,11,62,walking
2021-10-27 15:37:10.437500+00:00,5,11,61,walking
2021-10-27 15:37:10.468750+00:00,6,11,61,walking
2021-10-27 15:37:10.500000+00:00,5,11,62,walking
2021-10-27 15:37:10.531250+00:00,5,10,62,walking
2021-10-27 15:37:10.562500+00:00,6,10,62,walking
2021-10-27 15:37:10.593750+00:00,5,10,62,walking
2021-10-27 15:37:10.625000+00:00,5,10,62,walking
2021-10-27 15:37:10.656250+00:00,5,11,62,walking
2021-10-27 15:37:10.687500+00:00,5,11,62,walking
2021-10-27 15:37:10.718750+00:00,5,11,61,walking
2021-10-27 15:37:10.750000+00:00,5,11,61,walking
2021-10-27 15:37:10.781250+00:00,6,11,61,walking
2021-10-27 15:37:10.812500+00:00,5,11,61,walking
2021-10-27 15:37:10.843750+00:00,5,11,61,walking
2021-10-27 15:37:10.875000+00:00,5,11,61,walking
2021-10-27 15:37:10.906250+00:00,5,11,61,walking
2021-10-27 15:37:10.937500+00:00,4,11,61,walking
2021-10-27 15:37:10.968750+00:00,5,11,61,walking
2021-10-27 15:37:11+00:00,4,11,62,walking
2021-10-27 15:37:11.031250+00:00,5,11,62,walking
2021-10-27 15:37:11.062500+00:00,5,11,61,walking
2021-10-27 15:37:11.093750+00:00,5,11,61,walking
2021-10-27 15:37:11.125000+00:00,5,11,62,walking
2021-10-27 15:37:11.156250+00:00,5,11,61,walking
2021-10-27 15:37:11.187500+00:00,6,10,61,walking
2021-10-27 15:37:11.218750+00:00,6,10,61,walking
2021-10-27 15:37:11.250000+00:00,5,11,61,walking
2021-10-27 15:37:11.281250+00:00,6,10,61,walking
2021-10-27 15:37:11.312500+00:00,6,11,61,walking
2021-10-27 15:37:11.343750+00:00,6,11,61,walking
2021-10-27 15:37:11.375000+00:00,6,10,61,walking
2021-10-27 15:37:11.406250+00:00,6,10,61,walking
2021-10-27 15:37:11.437500+00:00,6,11,61,walking
2021-10-27 15:37:11.468750+00:00,6,10,61,walking
