datatime,acc_x,acc_y,acc_z,label,subject_id
2021-10-27 16:13:08+00:00,2,2,56,downstairs,2
2021-10-27 16:13:08.031250+00:00,1,2,57,downstairs,2
2021-10-27 16:13:08.062500+00:00,0,3,61,downstairs,2
2021-10-27 16:13:08.093750+00:00,1,2,64,downstairs,2
2021-10-27 16:13:08.125000+00:00,2,2,60,downstairs,2
2021-10-27 16:13:08.156250+00:00,3,2,62,downstairs,2
2021-10-27 16:13:08.187500+00:00,4,2,63,downstairs,2
2021-10-27 16:13:08.218750+00:00,3,2,64,downstairs,2
2021-10-27 16:13:08.250000+00:00,3,2,64,downstairs,2
2021-10-27 16:13:08.281250+00:00,3,3,63,downstairs,2
2021-10-27 16:13:08.312500+00:00,3,3,62,downstairs,2
2021-10-27 16:13:08.343750+00:00,3,4,62,downstairs,2
2021-10-27 16:13:08.375000+00:00,2,4,61,downstairs,2
2021-10-27 16:13:08.406250+00:00,4,4,63,downstairs,2
2021-10-27 16:13:08.437500+00:00,3,4,64,downstairs,2
2021-10-27 16:13:08.468750+00:00,2,4,63,downstairs,2
2021-10-27 16:13:08.500000+00:00,3,4,63,downstairs,2
2021-10-27 16:13:08.531250+00:00,1,4,66,downstairs,2
2021-10-27 16:13:08.562500+00:00,0,3,71,downstairs,2
2021-10-27 16:13:08.593750+00:00,0,2,71,downstairs,2
2021-10-27 16:13:08.625000+00:00,-3,1,71,downstairs,2
2021-10-27 16:13:08.656250+00:00,-4,1,73,downstairs,2
2021-10-27 16:13:08.687500+00:00,-3,3,72,downstairs,2
2021-10-27 16:13:08.718750+00:00,-3,2,63,downstairs,2
2021-10-27 16:13:08.750000+00:00,-4,1,62,downstairs,2
2021-10-27 16:13:08.781250+00:00,-5,-3,63,downstairs,2
2021-10-27 16:13:08.812500+00:00,-5,-3,62,downstairs,2
2021-10-27 16:13:08.843750+00:00,-6,-2,59,downstairs,2
2021-10-27 16:13:08.875000+00:00,-7,-2,58,downstairs,2
2021-10-27 16:13:08.906250+00:00,-4,-3,57,downstairs,2
2021-10-27 16:13:08.937500+00:00,-3,-4,55,downstairs,2
2021-10-27 16:13:08.968750+00:00,-2,-5,54,downstairs,2
2021-10-27 16:13:09+00:00,1,-7,54,downstairs,2
2021-10-27 16:13:09.031250+00:00,1,-8,55,downstairs,2
2021-10-27 16:13:09.062500+00:00,-1,-9,56,downstairs,2
2021-10-27 16:13:09.093750+00:00,-2,-9,56,downstairs,2
2021-10-27 16:13:09.125000+00:00,0,-8,59,downstairs,2
2021-10-27 16:13:09.156250+00:00,1,-7,62,downstairs,2
2021-10-27 16:13:09.187500+00:00,1,-6,62,downstairs,2
2021-10-27 16:13:09.218750+00:00,1,-2,68,downstairs,2
2021-10-27 16:13:09.250000+00:00,1,-1,69,downstairs,2
2021-10-27 16:13:09.281250+00:00,2,0,68,downstairs,2
2021-10-27 16:13:09.312500+00:00,2,-1,67,downstairs,2
2021-10-27 16:13:09.343750+00:00,1,-1,69,downstairs,2
2021-10-27 16:13:09.375000+00:00,-4,3,71,downstairs,2
2021-10-27 16:13:09.406250+00:00,-5,6,73,downstairs,2
2021-10-27 16:13:09.437500+00:00,0,10,65,downstairs,2
2021-10-27 16:13:09.468750+00:00,0,11,64,downstairs,2
2021-10-27 16:13:09.500000+00:00,0,13,69,downstairs,2
2021-10-27 16:13:09.531250+00:00,3,15,71,downstairs,2
2021-10-27 16:13:09.562500+00:00,6,12,65,downstairs,2
2021-10-27 16:13:09.593750+00:00,4,9,54,downstairs,2
2021-10-27 16:13:09.625000+00:00,4,8,53,downstairs,2
2021-10-27 16:13:09.656250+00:00,3,7,53,downstairs,2
2021-10-27 16:13:09.687500+00:00,1,5,52,downstairs,2
2021-10-27 16:13:09.718750+00:00,8,2,51,downstairs,2
2021-10-27 16:13:09.750000+00:00,7,1,53,downstairs,2
2021-10-27 16:13:09.781250+00:00,9,2,58,downstairs,2
2021-10-27 16:13:09.812500+00:00,13,2,58,downstairs,2
2021-10-27 16:13:09.843750+00:00,12,3,59,downstairs,2
2021-10-27 16:13:09.875000+00:00,12,5,64,downstairs,2
2021-10-27 16:13:09.906250+00:00,10,7,65,downstairs,2
2021-10-27 16:13:09.937500+00:00,8,4,65,downstairs,2
