datetime,acc_x,acc_y,acc_z,subject_id,round,type,label
2021-12-08 14:50:11+00:00,-6,22,62,3,1,InMotion,downstairs
2021-12-08 14:50:11.031250+00:00,-7,20,61,3,1,InMotion,downstairs
2021-12-08 14:50:11.062500+00:00,-7,18,59,3,1,InMotion,downstairs
2021-12-08 14:50:11.093750+00:00,-8,16,58,3,1,InMotion,downstairs
2021-12-08 14:50:11.125000+00:00,-7,16,57,3,1,InMotion,downstairs
2021-12-08 14:50:11.156250+00:00,-9,17,56,3,1,InMotion,downstairs
2021-12-08 14:50:11.187500+00:00,-8,16,57,3,1,InMotion,downstairs
2021-12-08 14:50:11.218750+00:00,-8,15,57,3,1,InMotion,downstairs
2021-12-08 14:50:11.250000+00:00,-10,15,57,3,1,InMotion,downstairs
2021-12-08 14:50:11.281250+00:00,-9,14,58,3,1,InMotion,downstairs
2021-12-08 14:50:11.312500+00:00,-8,15,58,3,1,InMotion,downstairs
2021-12-08 14:50:11.343750+00:00,-15,16,15,3,1,InMotion,downstairs
2021-12-08 14:50:11.375000+00:00,-4,17,60,3,1,InMotion,downstairs
2021-12-08 14:50:11.406250+00:00,0,15,62,3,1,InMotion,downstairs
2021-12-08 14:50:11.437500+00:00,1,15,62,3,1,InMotion,downstairs
2021-12-08 14:50:11.468750+00:00,-3,17,61,3,1,InMotion,downstairs
2021-12-08 14:50:11.500000+00:00,-2,15,61,3,1,InMotion,downstairs
2021-12-08 14:50:11.531250+00:00,-2,14,62,3,1,InMotion,downstairs
2021-12-08 14:50:11.562500+00:00,-2,13,62,3,1,InMotion,downstairs
2021-12-08 14:50:11.593750+00:00,0,15,65,3,1,InMotion,downstairs
2021-12-08 14:50:11.625000+00:00,-6,17,65,3,1,InMotion,downstairs
2021-12-08 14:50:11.656250+00:00,-10,16,62,3,1,InMotion,downstairs
2021-12-08 14:50:11.687500+00:00,-17,15,57,3,1,InMotion,downstairs
2021-12-08 14:50:11.718750+00:00,-5,9,39,3,1,InMotion,downstairs
2021-12-08 14:50:11.750000+00:00,-8,9,32,3,1,InMotion,downstairs
2021-12-08 14:50:11.781250+00:00,-2,15,39,3,1,InMotion,downstairs
2021-12-08 14:50:11.812500+00:00,-2,18,46,3,1,InMotion,downstairs
2021-12-08 14:50:11.843750+00:00,-4,26,56,3,1,InMotion,downstairs
2021-12-08 14:50:11.875000+00:00,-11,29,51,3,1,InMotion,downstairs
2021-12-08 14:50:11.906250+00:00,-11,31,48,3,1,InMotion,downstairs
2021-12-08 14:50:11.937500+00:00,-15,34,40,3,1,InMotion,downstairs
2021-12-08 14:50:11.968750+00:00,-18,40,37,3,1,InMotion,downstairs
2021-12-08 14:50:12+00:00,-26,42,34,3,1,InMotion,downstairs
2021-12-08 14:50:12.031250+00:00,-31,43,33,3,1,InMotion,downstairs
2021-12-08 14:50:12.062500+00:00,-36,50,37,3,1,InMotion,downstairs
2021-12-08 14:50:12.093750+00:00,-34,53,35,3,1,InMotion,downstairs
2021-12-08 14:50:12.125000+00:00,-33,54,33,3,1,InMotion,downstairs
2021-12-08 14:50:12.156250+00:00,-33,55,31,3,1,InMotion,downstairs
2021-12-08 14:50:12.187500+00:00,-33,51,27,3,1,InMotion,downstairs
2021-12-08 14:50:12.218750+00:00,-34,40,19,3,1,InMotion,downstairs
2021-12-08 14:50:12.250000+00:00,-34,35,17,3,1,InMotion,downstairs
2021-12-08 14:50:12.281250+00:00,-31,26,16,3,1,InMotion,downstairs
