datatime,acc_x,acc_y,acc_z
2021-11-08 23:25:52-05:00,-13,-33,58
2021-11-08 23:25:52.031250-05:00,-14,-32,56
2021-11-08 23:25:52.062500-05:00,-14,-33,50
2021-11-08 23:25:52.093750-05:00,-14,-39,49
2021-11-08 23:25:52.125000-05:00,-12,-42,49
2021-11-08 23:25:52.156250-05:00,-10,-40,47
2021-11-08 23:25:52.187500-05:00,-9,-38,45
2021-11-08 23:25:52.218750-05:00,-8,-38,47
2021-11-08 23:25:52.250000-05:00,-7,-38,48
2021-11-08 23:25:52.281250-05:00,-9,-37,48
2021-11-08 23:25:52.312500-05:00,-11,-37,46
2021-11-08 23:25:52.343750-05:00,-9,-40,48
2021-11-08 23:25:52.375000-05:00,-8,-42,48
2021-11-08 23:25:52.406250-05:00,-9,-54,54
2021-11-08 23:25:52.437500-05:00,-9,-42,55
2021-11-08 23:25:52.468750-05:00,-11,-38,38
2021-11-08 23:25:52.500000-05:00,-9,-38,42
2021-11-08 23:25:52.531250-05:00,-9,-40,46
2021-11-08 23:25:52.562500-05:00,-10,-41,48
2021-11-08 23:25:52.593750-05:00,-11,-39,47
2021-11-08 23:25:52.625000-05:00,-12,-38,43
2021-11-08 23:25:52.656250-05:00,-12,-39,43
2021-11-08 23:25:52.687500-05:00,-12,-41,48
2021-11-08 23:25:52.718750-05:00,-13,-42,49
2021-11-08 23:25:52.750000-05:00,-14,-42,49
2021-11-08 23:25:52.781250-05:00,-15,-43,46
2021-11-08 23:25:52.812500-05:00,-14,-43,46
2021-11-08 23:25:52.843750-05:00,-11,-42,46
2021-11-08 23:25:52.875000-05:00,-11,-42,45
2021-11-08 23:25:52.906250-05:00,-12,-41,44
2021-11-08 23:25:52.937500-05:00,-13,-41,44
2021-11-08 23:25:52.968750-05:00,-13,-41,44
2021-11-08 23:25:53-05:00,-12,-42,45
2021-11-08 23:25:53.031250-05:00,-12,-42,45
2021-11-08 23:25:53.062500-05:00,-12,-43,44
2021-11-08 23:25:53.093750-05:00,-12,-44,45
2021-11-08 23:25:53.125000-05:00,-12,-43,42
2021-11-08 23:25:53.156250-05:00,-11,-41,43
2021-11-08 23:25:53.187500-05:00,-8,-41,46
2021-11-08 23:25:53.218750-05:00,-5,-41,50
2021-11-08 23:25:53.250000-05:00,-4,-41,51
2021-11-08 23:25:53.281250-05:00,-7,-40,47
2021-11-08 23:25:53.312500-05:00,-7,-41,46
2021-11-08 23:25:53.343750-05:00,-7,-41,46
2021-11-08 23:25:53.375000-05:00,-7,-41,48
2021-11-08 23:25:53.406250-05:00,-8,-41,47
2021-11-08 23:25:53.437500-05:00,-9,-42,46
2021-11-08 23:25:53.468750-05:00,-9,-41,45
2021-11-08 23:25:53.500000-05:00,-9,-39,46
